5355, 4, 433504010
1664, 6, 436830668
1664, 6, 435602811
5434, 5, 398097249
5544, 5, 371190780
6556, 6, 439153418
5312, 4, 10957958
3622, 7, 81002960
4422, 5, 80992646
3434, 4, 349035806
6433, 6, 349307200
4434, 4, 396978640
2352, 4, 11683055
3365, 6, 350026964
3354, 5, 349215287
1456, 5, 436634740
3536, 5, 349134824
6525, 6, 433115257
1352, 5, 97182766
4434, 4, 396847061
6543, 5, 399058787
4636, 5, 398022187
3566, 5, 397866004
6231, 7, 60117901
3424, 3, 418434723
2114, 4, 15005256
2535, 4, 415473753
6432, 6, 437546550
3523, 4, 418085015
4143, 4, 420658930
3431, 4, 404987944
2461, 6, 60124643
2452, 4, 13314489
6115, 7, 429509424
5214, 6, 67471009
6352, 5, 438364194
3164, 6, 420483183
6532, 5, 437137751
3634, 5, 350536459
6624, 6, 433280943
1243, 4, 13974546
4132, 6, 97471421
5544, 5, 371551299
1223, 2, 5748841
6661, 5, 428507015
5146, 6, 428238078
3533, 4, 336929929
5356, 5, 399967200
1444, 3, 479898132
1455, 4, 442490391
4336, 5, 350992524
2335, 4, 406012115
4231, 6, 60303959
1346, 5, 424550973
5221, 5, 6303070
2541, 6, 60312534
4553, 5, 398202584
3112, 4, 79249917
1161, 6, 76436488
2224, 3, 31030410
3161, 6, 417791516
2262, 5, 12336141
6614, 5, 426888542
3242, 3, 11660370
4212, 4, 6245402
5252, 4, 13382049
3155, 5, 418809991
2335, 4, 407705822
6614, 5, 426036813
5114, 4, 427245205
4564, 6, 372665390
6622, 7, 81176707
6331, 6, 407316357
6353, 5, 352754287
1425, 5, 97644499
3612, 5, 10948713
1431, 4, 29022503
5534, 6, 401937754
3251, 6, 60270375
3362, 5, 418426319
4152, 5, 97464993
6613, 5, 433157794
4255, 4, 432302685
4126, 6, 97571975
6425, 5, 436332357
6235, 5, 426276241
4243, 5, 417629073
1363, 5, 417374410
6656, 6, 369742321
4321, 4, 10905302
3626, 5, 420654375
4136, 6, 421111262
6115, 7, 429177314
4155, 5, 429882887
1213, 3, 6082382
5434, 5, 397338097
3423, 3, 415695787
6334, 5, 351486895
2664, 6, 432470328
2412, 4, 6248737
1624, 6, 97762360
2266, 5, 417351562
3531, 5, 405897631
6311, 6, 418183976
3236, 5, 403926698
6513, 6, 431090302
5516, 5, 425284646
1361, 6, 29438971
5655, 6, 370497856
6515, 6, 425875958
4451, 5, 426884156
5461, 7, 428010616
2645, 5, 431570436
4325, 4, 435901459
2461, 6, 60168042
6651, 5, 426643770
5521, 4, 11241694
6651, 5, 427703496
1566, 5, 437383089
4412, 3, 11042404
4222, 5, 78896041
3332, 3, 417288804
1213, 3, 6069280
6226, 5, 31327676
1531, 4, 28922584
5151, 6, 428052054
5413, 5, 430662993
5566, 5, 368756468
6246, 5, 431416273
2124, 4, 5957931
1551, 4, 30394011
3211, 6, 40076627
3142, 5, 97775165
4235, 5, 416306253
5253, 5, 415619333
1166, 6, 79074427
4626, 5, 431639057
3546, 5, 397818024
4662, 5, 433512036
1426, 6, 97974521
3426, 5, 417811409
4414, 4, 425578822
1414, 3, 30269190
3461, 6, 424099867
1531, 4, 29021510
6211, 6, 40261994
6626, 5, 433297234
2251, 5, 39956835
1361, 6, 29413578
2535, 4, 418144809
2462, 5, 13417094
2431, 4, 59778706
6444, 6, 369865344
2363, 5, 405958195
2211, 2, 38161473
1161, 6, 76549593
3122, 4, 8000431
3252, 4, 11764669
4643, 5, 398080948
3433, 5, 336432687
1231, 4, 6132367
4343, 4, 351199902
3454, 5, 397012321
5213, 5, 59913277
6645, 7, 374417715
1564, 6, 436575625
6533, 6, 350807346
3443, 4, 349485074
1534, 4, 422238122
2362, 5, 11683217
1363, 5, 416402458
4315, 5, 426707331
5454, 5, 372489662
4364, 5, 396745861
5323, 4, 423882503
4116, 6, 428028108
3514, 6, 424875327
6623, 5, 437989472
6265, 6, 431552294
6436, 5, 402916748
1551, 4, 30611160
1552, 5, 97562524
1352, 5, 97111992
4516, 5, 428086506
5416, 6, 429449550
4454, 5, 369429020
3354, 5, 351829995
6656, 6, 371942031
4223, 5, 29705999
2533, 5, 406628290
4316, 6, 427350532
4454, 5, 370471961
2236, 5, 408387974
4542, 4, 432928814
6612, 5, 11275344
1234, 3, 13894493
2221, 2, 5798578
6426, 5, 433804483
1245, 4, 14205915
6241, 6, 60586347
1126, 6, 7484569
6263, 5, 420154676
6315, 7, 424348686
1622, 7, 8038665
3142, 5, 97666042
6654, 6, 374340256
2366, 5, 407686215
